iter,noise,n_samples,model,r2
1,10.0,3510,LR,0.03369315719895272
1,10.0,4010,CPF,0.010923164503029659
1,10.0,4010,RF,0.0009581058680482313
1,10.0,4010,LR,0.03435105305414321
1,10.0,4510,CPF,0.012527107330226994
1,10.0,4510,RF,0.005609436436669335
1,10.0,4510,LR,0.035926454537737906
1,10.0,5010,CPF,0.013679900793751587
1,10.0,5010,RF,0.006342810870813564
1,10.0,5010,LR,0.036260568342040056
1,10.0,5510,CPF,0.01312999304115503
1,10.0,5510,RF,0.011596588191214896
1,10.0,5510,LR,0.03851037253537071
1,10.0,6010,CPF,0.012567138599802075
1,10.0,6010,RF,0.008264800981465426
1,10.0,6010,LR,0.039389399340019504
1,10.0,6510,CPF,0.011742865131244451
1,10.0,6510,RF,0.0081557005196905
1,10.0,6510,LR,0.04053175199185799
1,10.0,7010,CPF,0.012884946817239396
1,10.0,7010,RF,0.006798127214346805
1,10.0,7010,LR,0.0409897503740152
1,10.0,7510,CPF,0.011197500736371602
1,10.0,7510,RF,0.01841011587922825
1,10.0,7510,LR,0.04016816947579527
1,10.0,8010,CPF,0.008712304784784797
1,10.0,8010,RF,0.01756199415816151
1,10.0,8010,LR,0.04015357941485409
2,0.0,10,CPF,0.18443473368658025
2,0.0,10,RF,0.09877550209217156
2,0.0,10,LR,0.36207648566852135
2,0.0,510,CPF,0.8880854559277976
2,0.0,510,RF,0.6091349637216366
2,0.0,510,LR,1.0
2,0.0,1010,CPF,0.9418812592925199
2,0.0,1010,RF,0.6873126622577055
2,0.0,1010,LR,1.0
2,0.0,1510,CPF,0.9698244750901783
2,0.0,1510,RF,0.710292913616855
2,0.0,1510,LR,1.0
2,0.0,2010,CPF,0.9813646097756789
2,0.0,2010,RF,0.7237596593496445
2,0.0,2010,LR,1.0
2,0.0,2510,CPF,0.9868688440959281
2,0.0,2510,RF,0.731875881905576
2,0.0,2510,LR,1.0
2,0.0,3010,CPF,0.9926665926088433
2,0.0,3010,RF,0.7455707575888699
2,0.0,3010,LR,1.0
2,0.0,3510,CPF,0.9947441956290312
2,0.0,3510,RF,0.7456731811580788
2,0.0,3510,LR,1.0
2,0.0,4010,CPF,0.9946962145915831
2,0.0,4010,RF,0.7486530481634927
2,0.0,4010,LR,1.0
2,0.0,4510,CPF,0.9959066513503005
2,0.0,4510,RF,0.7507763762660531
2,0.0,4510,LR,1.0
2,0.0,5010,CPF,0.9965819626156326
2,0.0,5010,RF,0.7529845388117411
2,0.0,5010,LR,1.0
2,0.0,5510,CPF,0.9973108489620222
2,0.0,5510,RF,0.7542957675756673
2,0.0,5510,LR,1.0
2,0.0,6010,CPF,0.9977835368350907
2,0.0,6010,RF,0.7561657461582314
2,0.0,6010,LR,1.0
2,0.0,6510,CPF,0.9980547131860006
2,0.0,6510,RF,0.752717661425541
2,0.0,6510,LR,1.0
2,0.0,7010,CPF,0.9976291269939068
2,0.0,7010,RF,0.7635658529204961
2,0.0,7010,LR,1.0
2,0.0,7510,CPF,0.9978604925882382
2,0.0,7510,RF,0.7713019591728384
2,0.0,7510,LR,1.0
2,0.0,8010,CPF,0.9981195136736692
2,0.0,8010,RF,0.7718421746977913
2,0.0,8010,LR,1.0
2,0.1,10,CPF,0.3276907918293269
2,0.1,10,RF,0.2166633011592488
2,0.1,10,LR,0.5224852538744025
2,0.1,510,CPF,0.9040553946803223
2,0.1,510,RF,0.6496352659860167
2,0.1,510,LR,0.9983109906684136
2,0.1,1010,CPF,0.9510837246019844
2,0.1,1010,RF,0.6833989939877373
2,0.1,1010,LR,0.9983735673672303
2,0.1,1510,CPF,0.9748150031242562
2,0.1,1510,RF,0.7022985423956455
2,0.1,1510,LR,0.9983975872586175
2,0.1,2010,CPF,0.9847570419960427
2,0.1,2010,RF,0.7231178711132975
2,0.1,2010,LR,0.9984030408926654
2,0.1,2510,CPF,0.9909627062595451
2,0.1,2510,RF,0.7287144622653933
2,0.1,2510,LR,0.9984015375844146
2,0.1,3010,CPF,0.9927369313661225
2,0.1,3010,RF,0.7416178433811395
2,0.1,3010,LR,0.9983988394058354
2,0.1,3510,CPF,0.9944028940645445
2,0.1,3510,RF,0.7522431515743224
2,0.1,3510,LR,0.9984000994825999
2,0.1,4010,CPF,0.9949681963535345
2,0.1,4010,RF,0.7534291136933124
2,0.1,4010,LR,0.9984027870084555
2,0.1,4510,CPF,0.9956554327414299
2,0.1,4510,RF,0.7546753648904444
2,0.1,4510,LR,0.9984044349511814
2,0.1,5010,CPF,0.9963674833221046
2,0.1,5010,RF,0.7610736102585314
2,0.1,5010,LR,0.998404279003559
2,0.1,5510,CPF,0.9966653055312646
2,0.1,5510,RF,0.7642868924682245
2,0.1,5510,LR,0.9984052320861028
2,0.1,6010,CPF,0.9966297297644954
2,0.1,6010,RF,0.7728162042729878
2,0.1,6010,LR,0.9984032974165741
2,0.1,6510,CPF,0.996666779999032
2,0.1,6510,RF,0.7754250046477839
2,0.1,6510,LR,0.9984053625050044
2,0.1,7010,CPF,0.997146389336583
2,0.1,7010,RF,0.7767492116877901
2,0.1,7010,LR,0.9984066018137615
2,0.1,7510,CPF,0.9970812646679428
2,0.1,7510,RF,0.7730429085131248
2,0.1,7510,LR,0.998403457891075
2,0.1,8010,CPF,0.9972518245972555
2,0.1,8010,RF,0.7768970735580851
2,0.1,8010,LR,0.998402257984649
2,1.0,10,CPF,0.2171911691217121
2,1.0,10,RF,0.15385025712204858
2,1.0,10,LR,0.34988408755113376
2,1.0,510,CPF,0.7767919917283945
2,1.0,510,RF,0.5790588796215916
2,1.0,510,LR,0.8564258759436283
2,1.0,1010,CPF,0.8185623040662575
2,1.0,1010,RF,0.599668136404639
2,1.0,1010,LR,0.8617452039964296
2,1.0,1510,CPF,0.836915945929717
2,1.0,1510,RF,0.6154177465455826
2,1.0,1510,LR,0.8637870132400804
2,1.0,2010,CPF,0.84871485315946
2,1.0,2010,RF,0.633174276965702
2,1.0,2010,LR,0.8642505990336627
2,1.0,2510,CPF,0.8500653136236858
2,1.0,2510,RF,0.6433645219503504
2,1.0,2510,LR,0.8641228104174283
2,1.0,3010,CPF,0.8532277357951311
2,1.0,3010,RF,0.6488873868411021
2,1.0,3010,LR,0.8638934519297019
2,1.0,3510,CPF,0.8535360371719362
2,1.0,3510,RF,0.6552342339710107
2,1.0,3510,LR,0.8640005646698821
2,1.0,4010,CPF,0.8540465359640115
2,1.0,4010,RF,0.6543909527318797
2,1.0,4010,LR,0.8642290176235655
2,1.0,4510,CPF,0.8561354434168682
2,1.0,4510,RF,0.6594445390696285
2,1.0,4510,LR,0.8643691008835801
2,1.0,5010,CPF,0.8576768240130368
2,1.0,5010,RF,0.6642994301291046
2,1.0,5010,LR,0.8643558445664813
2,1.0,5510,CPF,0.8580930811573084
2,1.0,5510,RF,0.6650783875697015
2,1.0,5510,LR,0.8644368612836864
2,1.0,6010,CPF,0.8579601074443945
2,1.0,6010,RF,0.6701987945724625
2,1.0,6010,LR,0.8642724048311861
2,1.0,6510,CPF,0.8572649672380076
2,1.0,6510,RF,0.6719138231613033
2,1.0,6510,LR,0.8644479475336089
2,1.0,7010,CPF,0.8575881646784876
2,1.0,7010,RF,0.6748088413414846
2,1.0,7010,LR,0.8645532948907316
2,1.0,7510,CPF,0.8576589432655211
2,1.0,7510,RF,0.6745384402536845
2,1.0,7510,LR,0.8642860459552884
2,1.0,8010,CPF,0.857366610309451
2,1.0,8010,RF,0.6768313191716419
2,1.0,8010,LR,0.8641840479906571
2,10.0,10,CPF,-0.14034295549697906
2,10.0,10,RF,-0.08097287173023737
2,10.0,10,LR,-0.858541901499583
2,10.0,510,CPF,0.00844805064835874
2,10.0,510,RF,0.005179183237844276
2,10.0,510,LR,0.01582788483062969
2,10.0,1010,CPF,0.02981499853682479
2,10.0,1010,RF,0.03293273431499455
2,10.0,1010,LR,0.05229082253206219
2,10.0,1510,CPF,0.04340695360844271
2,10.0,1510,RF,0.03040352389777823
2,10.0,1510,LR,0.06628701951604876
2,10.0,2010,CPF,0.04458879383649783
2,10.0,2010,RF,0.040580490278667836
2,10.0,2010,LR,0.06946480809063282
2,10.0,2510,CPF,0.04846659537586817
2,10.0,2510,RF,0.04072710398521129
2,10.0,2510,LR,0.06858884249752495
2,10.0,3010,CPF,0.04735404129216625
2,10.0,3010,RF,0.041061694584473285
2,10.0,3010,LR,0.06701663560104332
2,10.0,3510,CPF,0.05120756733597387
2,10.0,3510,RF,0.036482026096360975
2,10.0,3510,LR,0.06775087216879172
2,10.0,4010,CPF,0.044694969274636565
2,10.0,4010,RF,0.03374219874615192
2,10.0,4010,LR,0.06931687180919432
2,10.0,4510,CPF,0.04521614905115623
2,10.0,4510,RF,0.03811196126932925
2,10.0,4510,LR,0.0702771147444341
2,10.0,5010,CPF,0.045006986219390144
2,10.0,5010,RF,0.033305339312844184
2,10.0,5010,LR,0.07018624532263384
2,10.0,5510,CPF,0.044695148142759544
2,10.0,5510,RF,0.037181982743427544
2,10.0,5510,LR,0.07074159883399755
2,10.0,6010,CPF,0.04069664745435486
2,10.0,6010,RF,0.03818138302073437
2,10.0,6010,LR,0.06961428250332724
2,10.0,6510,CPF,0.03561572760570808
2,10.0,6510,RF,0.037992293329193516
2,10.0,6510,LR,0.07081759287615086
2,10.0,7010,CPF,0.038851199921491664
2,10.0,7010,RF,0.050202203985413085
2,10.0,7010,LR,0.07153972809354092
2,10.0,7510,CPF,0.03148457723217313
2,10.0,7510,RF,0.039519397208434115
2,10.0,7510,LR,0.06970778970073732
2,10.0,8010,CPF,0.0286951426182801
2,10.0,8010,RF,0.03567129613861908
2,10.0,8010,LR,0.06900861390388702
3,0.0,10,CPF,0.10050479824431835
3,0.0,10,RF,0.04683087742054182
3,0.0,10,LR,0.6418226482354168
3,0.0,510,CPF,0.8888318748959133
3,0.0,510,RF,0.6501030864625876
3,0.0,510,LR,1.0
3,0.0,1010,CPF,0.9510030108168364
3,0.0,1010,RF,0.665102387130591
3,0.0,1010,LR,1.0
3,0.0,1510,CPF,0.973762420964177
3,0.0,1510,RF,0.670046199603556
3,0.0,1510,LR,1.0
3,0.0,2010,CPF,0.9861944673550891
3,0.0,2010,RF,0.6852440548121357
3,0.0,2010,LR,1.0
