id,name,n_samples,n_features,rows_removed,cols_removed,fold,model,r2,fit_duration,predict_duration,min_sample_leaf,min_sample_alpha,min_sample_fit,max_depth,max_model_depth,n_features_node,m_features_tree,df_settings
87,Servo,167,4,0,0,1,CPF 69,0.5174188949739313,0.0008928775787353516,8.416175842285156e-05,5.0,2.0,2.0,10.0,100.0,0.7,sqrt,excl_blin
87,Servo,167,4,0,0,1,CPF 70,0.6015400034188122,0.0009398460388183594,9.465217590332031e-05,5.0,2.0,2.0,10.0,100.0,0.7,0.7,incl_blin
87,Servo,167,4,0,0,1,CPF 71,0.6233228936045827,0.0013644695281982422,0.00011420249938964844,5.0,2.0,2.0,10.0,100.0,0.7,0.7,excl_blin
87,Servo,167,4,0,0,1,CPF 72,0.8802047020024703,0.00255584716796875,0.00013256072998046875,5.0,2.0,2.0,20.0,100.0,1,1,incl_blin
87,Servo,167,4,0,0,1,CPF 73,0.8787225946336626,0.0019104480743408203,0.0001392364501953125,5.0,2.0,2.0,20.0,100.0,1,1,excl_blin
87,Servo,167,4,0,0,1,CPF 74,0.6404486203488011,0.0010764598846435547,0.00011110305786132812,5.0,2.0,2.0,20.0,100.0,1,sqrt,incl_blin
87,Servo,167,4,0,0,1,CPF 75,0.6143174910327149,0.0010213851928710938,9.489059448242188e-05,5.0,2.0,2.0,20.0,100.0,1,sqrt,excl_blin
87,Servo,167,4,0,0,1,CPF 76,0.36604015734602324,0.0008516311645507812,7.581710815429688e-05,5.0,2.0,2.0,20.0,100.0,1,0.7,incl_blin
87,Servo,167,4,0,0,1,CPF 77,0.4694165586260446,0.0008459091186523438,6.270408630371094e-05,5.0,2.0,2.0,20.0,100.0,1,0.7,excl_blin
87,Servo,167,4,0,0,1,CPF 78,0.7315130750142813,0.001512289047241211,0.00016188621520996094,5.0,2.0,2.0,20.0,100.0,sqrt,1,incl_blin
87,Servo,167,4,0,0,1,CPF 79,0.6674925429693468,0.0018093585968017578,0.0001304149627685547,5.0,2.0,2.0,20.0,100.0,sqrt,1,excl_blin
87,Servo,167,4,0,0,1,CPF 80,0.5647562014879937,0.0014064311981201172,0.00014281272888183594,5.0,2.0,2.0,20.0,100.0,sqrt,sqrt,incl_blin
87,Servo,167,4,0,0,1,CPF 81,0.4461847987261429,0.0009262561798095703,9.441375732421875e-05,5.0,2.0,2.0,20.0,100.0,sqrt,sqrt,excl_blin
87,Servo,167,4,0,0,1,CPF 82,0.5082421163319493,0.0018312931060791016,0.00018405914306640625,5.0,2.0,2.0,20.0,100.0,sqrt,0.7,incl_blin
87,Servo,167,4,0,0,1,CPF 83,0.5341366809416861,0.0014026165008544922,0.0001304149627685547,5.0,2.0,2.0,20.0,100.0,sqrt,0.7,excl_blin
87,Servo,167,4,0,0,1,CPF 84,0.6382794446409579,0.0012259483337402344,7.700920104980469e-05,5.0,2.0,2.0,20.0,100.0,0.7,1,incl_blin
87,Servo,167,4,0,0,1,CPF 85,0.7661549646115522,0.001096963882446289,9.34600830078125e-05,5.0,2.0,2.0,20.0,100.0,0.7,1,excl_blin
87,Servo,167,4,0,0,1,CPF 86,0.6169523794478993,0.0015463829040527344,0.0001418590545654297,5.0,2.0,2.0,20.0,100.0,0.7,sqrt,incl_blin
87,Servo,167,4,0,0,1,CPF 87,0.7111714235873252,0.0008955001831054688,6.866455078125e-05,5.0,2.0,2.0,20.0,100.0,0.7,sqrt,excl_blin
87,Servo,167,4,0,0,1,CPF 88,0.5618680437896101,0.001199960708618164,0.00016117095947265625,5.0,2.0,2.0,20.0,100.0,0.7,0.7,incl_blin
87,Servo,167,4,0,0,1,CPF 89,0.5882989287978324,0.0009188652038574219,7.915496826171875e-05,5.0,2.0,2.0,20.0,100.0,0.7,0.7,excl_blin
87,Servo,167,4,0,0,1,CPF 90,0.82548728660142,0.0019969940185546875,8.440017700195312e-05,5.0,2.0,2.0,50.0,100.0,1,1,incl_blin
87,Servo,167,4,0,0,1,CPF 91,0.8901070256117414,0.0018019676208496094,8.344650268554688e-05,5.0,2.0,2.0,50.0,100.0,1,1,excl_blin
87,Servo,167,4,0,0,1,CPF 92,0.5371176736102184,0.0008697509765625,0.00010657310485839844,5.0,2.0,2.0,50.0,100.0,1,sqrt,incl_blin
87,Servo,167,4,0,0,1,CPF 93,0.5317544353142702,0.000978231430053711,7.700920104980469e-05,5.0,2.0,2.0,50.0,100.0,1,sqrt,excl_blin
87,Servo,167,4,0,0,1,CPF 94,0.1314211504791809,0.001079559326171875,0.00014257431030273438,5.0,2.0,2.0,50.0,100.0,1,0.7,incl_blin
87,Servo,167,4,0,0,1,CPF 95,0.310764368949208,0.0013358592987060547,0.0002455711364746094,5.0,2.0,2.0,50.0,100.0,1,0.7,excl_blin
87,Servo,167,4,0,0,1,CPF 96,0.7210231562881173,0.0015380382537841797,0.00010561943054199219,5.0,2.0,2.0,50.0,100.0,sqrt,1,incl_blin
87,Servo,167,4,0,0,1,CPF 97,0.5919654980148567,0.0014519691467285156,0.00011086463928222656,5.0,2.0,2.0,50.0,100.0,sqrt,1,excl_blin
87,Servo,167,4,0,0,1,CPF 98,0.4297235741139568,0.0009319782257080078,7.867813110351562e-05,5.0,2.0,2.0,50.0,100.0,sqrt,sqrt,incl_blin
87,Servo,167,4,0,0,1,CPF 99,0.732542025383746,0.0011260509490966797,0.00011324882507324219,5.0,2.0,2.0,50.0,100.0,sqrt,sqrt,excl_blin
87,Servo,167,4,0,0,1,CPF 100,0.3799298696101593,0.0012068748474121094,7.939338684082031e-05,5.0,2.0,2.0,50.0,100.0,sqrt,0.7,incl_blin
87,Servo,167,4,0,0,1,CPF 101,0.36340819773240796,0.0008749961853027344,7.152557373046875e-05,5.0,2.0,2.0,50.0,100.0,sqrt,0.7,excl_blin
87,Servo,167,4,0,0,1,CPF 102,0.7695130439410311,0.0012748241424560547,0.0001983642578125,5.0,2.0,2.0,50.0,100.0,0.7,1,incl_blin
87,Servo,167,4,0,0,1,CPF 103,0.8253758312285961,0.0013446807861328125,0.0001323223114013672,5.0,2.0,2.0,50.0,100.0,0.7,1,excl_blin
87,Servo,167,4,0,0,1,CPF 104,0.5777777873520018,0.0008921623229980469,7.653236389160156e-05,5.0,2.0,2.0,50.0,100.0,0.7,sqrt,incl_blin
87,Servo,167,4,0,0,1,CPF 105,0.4732827604595192,0.0008907318115234375,9.393692016601562e-05,5.0,2.0,2.0,50.0,100.0,0.7,sqrt,excl_blin
87,Servo,167,4,0,0,1,CPF 106,0.5420195943536333,0.0010051727294921875,9.107589721679688e-05,5.0,2.0,2.0,50.0,100.0,0.7,0.7,incl_blin
87,Servo,167,4,0,0,1,CPF 107,0.6176614961308293,0.0007991790771484375,6.628036499023438e-05,5.0,2.0,2.0,50.0,100.0,0.7,0.7,excl_blin
87,Servo,167,4,0,0,1,CPF 108,0.8927211258989021,0.0017218589782714844,8.392333984375e-05,10.0,2.0,2.0,10.0,100.0,1,1,incl_blin
87,Servo,167,4,0,0,1,CPF 109,0.8484462158011995,0.0015380382537841797,8.511543273925781e-05,10.0,2.0,2.0,10.0,100.0,1,1,excl_blin
87,Servo,167,4,0,0,1,CPF 110,0.6208346569024468,0.0008306503295898438,6.771087646484375e-05,10.0,2.0,2.0,10.0,100.0,1,sqrt,incl_blin
87,Servo,167,4,0,0,1,CPF 111,0.5849536102602261,0.0008606910705566406,6.699562072753906e-05,10.0,2.0,2.0,10.0,100.0,1,sqrt,excl_blin
